RawFileName,RetentionTime,MS2 Scan Number,MS2 Injection Time,Sum SN,Ion Flux,TMT126,TMT127n,TMT127c,TMT128n,TMT128c,TMT129n,TMT129c,TMT130n,TMT130c,TMT131n,TMT131c,TMT132n,TMT132c,TMT133n,TMT133c,TMT134n
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,2.25543034213333,247,750,3.23240049461872,0.00430986732615829,3.23240049461872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,2.26865725946667,248,750,2.41278123749752,0.00321704164999669,2.41278123749752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,2.29449389466667,250,750,2.02998748656693,0.00270664998208924,2.02998748656693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,2.30940609466667,252,750,3.16384787419849,0.00421846383226465,3.16384787419849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,2.3634964336,257,750,4.40285696998585,0.00587047595998113,4.40285696998585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,2.3766963776,258,750,2.65989218685244,0.00354652291580325,2.65989218685244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,2.52529647893333,272,648.147,2.28106369510161,0.00351936164959741,2.28106369510161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,2.56261183626667,275,750,4.96700911780649,0.00662267882374199,4.96700911780649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,2.57753645546667,277,750,7.84056665309263,0.0104540888707902,5.16871454299723,0,2.6718521100954,0,0,0,0,0,0,0,0,0,0,0,0,0
20191005_Lum3_OBJ39421_QLSCOUT_SCOPE_20xCarrier_5e5_750ms_8x_05_400pg_Fig.3,2.59080477653333,278,750,2.12650878621493,0.00283534504828657,2.12650878621493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
