RawFileName,RetentionTime,MS2 Scan Number,MS2 Injection Time,Sum SN,Ion Flux,Carrier Ratio,TMT126,TMT127n,TMT127c,TMT128n,TMT128c,TMT129n,TMT129c,TMT130n,TMT130c,TMT131n,TMT131c,TMT132n,TMT132c,TMT133n,TMT133c,TMT134n
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,4.93156083573333,1006,300,1.95431253437861,0.00651437511459536,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95431253437861,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,4.97390728428333,1015,300,179.553485352411,0.59851161784137,5.39770174877196,51.3910458503962,51.9951397995615,0,2.94517903252325,9.93834083485325,6.09871216559808,12.5886941992454,15.754995154256,13.2421378580111,15.5992404579661,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,4.99587767466667,1019,300,12.8764075647832,0.0429213585492772,∞,5.45362009027288,7.42278747451029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,5.04345032373333,1029,300,10.1292073201063,0.0337640244003543,∞,8.25310572988768,1.87610159021863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,5.04900023893333,1030,300,2.95945491245415,0.00986484970818051,∞,2.95945491245415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,5.06828086986667,1035,300,3.08083929100669,0.0102694643033556,∞,3.08083929100669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,5.2673665736,1074,300,6.20543018669783,0.0206847672889928,∞,2.30613402500914,3.89929616168869,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,5.32429190561667,1085,300,1.87514678152817,0.00625048927176056,0,0,0,0,0,0,1.87514678152817,0,0,0,0,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,5.37023988748333,1094,3.514,3415.53417088363,971.978990006726,5.29371364500499,895.051856147686,1167.85628897087,0,58.5353181649514,178.436188710171,108.949991353997,236.096746021203,260.500877183563,225.288792906716,284.818111424483,0,0,0,0,0,0
20191012_Lum1_OBJ39421_QLSCOUT_SCOPE_20xCarrier_1e5_300ms_8x_01,5.50263059601667,1119,300,42.7552973261348,0.142517657753783,6.75457192032802,12.5544096991986,15.3316584917297,0,0,1.95699346513687,0,3.34274497456852,2.57649853453117,3.49734030803769,3.49565185293219,0,0,0,0,0,0
